country,real gdp,real household consumption,real capitalformation,wages,gdp deflator
cy,0.07745626977844797,0.10171170396246222,0.1360865524622992,0.27477474055095974,0.14055535229688226
si,0.08666976350037485,0.0974764774221588,0.1901921917440984,0.2554782471823841,0.1480178834736816
nl,0.08679255449625224,0.10441778170536353,0.09708560218626348,0.2483020354480365,0.16980125699463133
sk,0.069750988607253,0.17173232450360243,0.14459950371332844,0.17075108236521186,0.09588814106081839
lt,0.18234953480342342,0.22706884676546102,0.1901274935052443,0.07129865389864959,0.13175231175292268
at,0.13373231147915104,0.07871793651820837,0.1816937371419494,0.22898263689977955,0.13329592360858988
hr,0.0349482341115293,0.0781600531160891,0.09848019881563554,0.2563684865758435,0.16846937853592076
pt,0.058738581611671455,0.11675835802017494,0.2766282962277289,0.2818005719277563,0.17420475732711585
cz,0.07102314087917244,0.1682070079366854,0.24719819272921903,0.08707745645201331,0.04631559243694107
ee,0.21228012479905628,0.26839769558112053,0.21136093368646325,0.24739173229368316,0.247733508712035
it,0.09509913508656075,0.1120778542705676,0.24764919225640014,0.09688393992210213,0.10637434689604149
ie,0.1315398512750131,0.14928426588882449,0.10794365396331095,0.1893528360012672,0.10675109652099889
dk,0.06537885543847412,0.11575529083847837,0.2272499173549919,0.25073534287046856,0.07320375335058284
fi,0.08494419285595065,0.08678931809470093,0.10094594851364407,0.15478726985979172,0.14804109436005589
fr,0.04379180900757525,0.07352236580992,0.1832242702443079,0.10658731779545677,0.08364702283897965
lv,0.3142702466054382,0.2682092543526627,0.2668359919606288,0.26978194826383034,0.21591453498667548
pl,0.20329554659080215,0.09607989826796903,0.25088268627713767,0.12262690732669362,0.06651928222338231
se,0.10244137806531249,0.07783957911221892,0.19954407519256084,0.14528620525750094,0.057244158512960365
es,0.09748649464129854,0.10899752012069591,0.2554538337669932,0.2261336670872977,0.15584781230897654
be,0.08803110630624915,0.0885916147853086,0.16931821459765187,0.19183243254632557,0.10866465394226311
de,0.11540444385203448,0.07629184720420584,0.15434753804492082,0.1538902010927162,0.11210499048253166
bg,NaN,0.050377572146145404,NaN,0.17015510129304381,NaN
ro,0.08915830250004247,0.1488620508751887,0.15052558551254222,0.18443675203362397,0.14011782496110312
el,0.22960449937034474,0.25031526254384334,0.20205376828013563,0.26073098051164134,0.13507860035927732
hu,0.14385497004400796,0.13995033353724906,0.1639921828607337,0.11116194376266676,0.0908143854378668
